user id,origin user id,movie id,origin movie id,score
5835,69290051,0,1291557,40.0
6133,79221774,0,1291557,40.0
6246,83579469,0,1291557,50.0
6384,93124222,0,1291557,50.0
6399,94506833,0,1291557,40.0
6419,96419654,0,1291557,50.0
6435,9881459,0,1291557,40.0
6514,AngelinaAnne,0,1291557,50.0
6520,Annaboo,0,1291557,40.0
6614,Bonjour-Bee,0,1291557,20.0
6827,Erman-Wei,0,1291557,50.0
7041,Jerry-feng,0,1291557,40.0
7301,MovieL,0,1291557,40.0
7365,Nokia95,0,1291557,40.0
7488,Razzmatazz,0,1291557,40.0
7514,RonaldoLuiz,0,1291557,50.0
7612,Soniawoolf,0,1291557,40.0
7705,TouchingDream,0,1291557,40.0
7807,XuKyle,0,1291557,50.0
7866,Zizou_Vam,0,1291557,50.0
7891,aarcher,0,1291557,50.0
7946,ahu,0,1291557,50.0
8109,angalny,0,1291557,40.0
8116,angle223,0,1291557,40.0
8141,antennnnnna,0,1291557,40.0
8256,babulliu,0,1291557,50.0
8259,babyblue,0,1291557,40.0
8263,babydog,0,1291557,40.0
8294,ballteda,0,1291557,40.0
8313,baoshumin,0,1291557,50.0
8365,beiliya,0,1291557,40.0
8598,caesarphoenix,0,1291557,50.0
8624,candy_littrell,0,1291557,30.0
8634,canny-leon,0,1291557,40.0
8762,cheeringo,0,1291557,30.0
8773,chen1988,0,1291557,40.0
8870,chouchou35,0,1291557,40.0
9009,colinpark,0,1291557,40.0
9020,conanemily,0,1291557,50.0
9264,dekadeyang,0,1291557,50.0
9303,dianyingnjxs,0,1291557,40.0
9340,dmxy,0,1291557,40.0
9414,dqytiancai,0,1291557,50.0
9420,dream_lee,0,1291557,50.0
9454,duduxiongzhifu,0,1291557,50.0
9755,fengtong,0,1291557,40.0
9879,franklintTNHWJ,0,1291557,40.0
9899,frlazi,0,1291557,40.0
10136,haaaaaaaa,0,1291557,30.0
10175,hansean,0,1291557,40.0
10251,hellojeff,0,1291557,40.0
10346,hpcat0119,0,1291557,40.0
10380,huhu1999,0,1291557,30.0
10434,iCyber,0,1291557,50.0
10475,iceyuyu,0,1291557,50.0
10639,jacobchen,0,1291557,50.0
10640,jacqie,0,1291557,50.0
10676,jayeee000,0,1291557,50.0
10682,jc919,0,1291557,50.0
10717,jessicahuang,0,1291557,50.0
10765,jimo,0,1291557,40.0
10768,jinggo,0,1291557,40.0
10787,jinwudu,0,1291557,50.0
10824,joearde,0,1291557,50.0
10870,joyjoy2,0,1291557,50.0
10901,jundle,0,1291557,50.0
10995,kejinlong,0,1291557,50.0
11046,kidneytopo,0,1291557,50.0
11081,kirk1226,0,1291557,40.0
11231,lavitelloni,0,1291557,50.0
11408,lingrui1995,0,1291557,40.0
11409,lingtong198747,0,1291557,50.0
11462,littletwo,0,1291557,50.0
11492,liusuer,0,1291557,50.0
11501,liuyingxin_1984,0,1291557,40.0
11546,lollypain,0,1291557,50.0
11558,longzheking,0,1291557,50.0
11774,maerta,0,1291557,40.0
11878,maybe-stella,0,1291557,40.0
11901,meijianzhopu,0,1291557,50.0
11935,merylstreep,0,1291557,50.0
12018,minyee13,0,1291557,50.0
12038,missixyujun,0,1291557,40.0
12176,mtl,0,1291557,40.0
12203,muto,0,1291557,50.0
12213,muzhizhanglang,0,1291557,40.0
12232,mymx,0,1291557,50.0
12384,nirvanasky,0,1291557,40.0
12444,nss1w1,0,1291557,50.0
12472,ocean_kwai,0,1291557,50.0
12481,ofo,0,1291557,50.0
12559,ozawa,0,1291557,40.0
12561,p2165,0,1291557,50.0
12606,particles,0,1291557,50.0
12676,phoebe627,0,1291557,30.0
12728,pirealwei,0,1291557,50.0
12887,quanzhouren,0,1291557,40.0
12970,rebekah,0,1291557,50.0
13012,renxiaowen,0,1291557,30.0
13043,ritakaka,0,1291557,50.0
13124,ruo1996,0,1291557,50.0
13181,samuleP,0,1291557,50.0
13201,sapphirehuang,0,1291557,50.0
13238,seabisuit,0,1291557,50.0
13310,shangdixiaole,0,1291557,40.0
13865,tanpanger,0,1291557,40.0
13909,terenceyibo,0,1291557,40.0
13996,tjz230,0,1291557,50.0
14034,towelcatryna,0,1291557,10.0
14164,vanhelsing,0,1291557,40.0
14333,wangyiqiu,0,1291557,40.0
14394,weizhoushiwang,0,1291557,50.0
14410,wenzel,0,1291557,40.0
14633,xiaomeipapa,0,1291557,40.0
14675,xilouchen,0,1291557,30.0
14677,ximeir,0,1291557,50.0
14783,y328675858,0,1291557,30.0
14792,yalindongdong,0,1291557,40.0
14800,yanceyboy,0,1291557,50.0
14833,yaoguanzi,0,1291557,40.0
14871,yellowmoonbird,0,1291557,40.0
14872,yeluorufei,0,1291557,40.0
14938,yizilee0715,0,1291557,40.0
14976,yoyoangela,0,1291557,50.0
14986,yrsyl,0,1291557,40.0
15127,zeroqq,0,1291557,50.0
15180,zhegejiale,0,1291557,50.0
15186,zhengzefan,0,1291557,50.0
15203,zhoubin5371,0,1291557,50.0
15250,zishuiyilan,0,1291557,40.0
15295,zunchi,0,1291557,40.0
15305,zxcqwert,0,1291557,40.0
15315,zyl622,0,1291557,40.0
226,119429128,1,1291560,50.0
304,1221014,1,1291560,40.0
371,125504091,1,1291560,50.0
550,131953600,1,1291560,50.0
609,134010978,1,1291560,50.0
684,136807054,1,1291560,50.0
707,137523981,1,1291560,50.0
765,139479815,1,1291560,40.0
868,142067715,1,1291560,50.0
919,143422153,1,1291560,50.0
940,14406150,1,1291560,40.0
941,14406293,1,1291560,50.0
955,144305995,1,1291560,40.0
983,1451680,1,1291560,30.0
1020,146197946,1,1291560,50.0
1119,149120019,1,1291560,50.0
1120,149131135,1,1291560,40.0
1122,149152146,1,1291560,50.0
1163,150285621,1,1291560,50.0
1213,151733404,1,1291560,50.0
1228,152040248,1,1291560,50.0
1274,153244660,1,1291560,40.0
1283,153438591,1,1291560,30.0
1391,155840797,1,1291560,50.0
1397,155974935,1,1291560,40.0
1399,155986714,1,1291560,40.0
1401,156004677,1,1291560,50.0
1402,156016222,1,1291560,30.0
1419,156315362,1,1291560,50.0
1420,156316198,1,1291560,40.0
1452,156929991,1,1291560,40.0
1453,156941004,1,1291560,40.0
1455,156967679,1,1291560,50.0
1456,157061671,1,1291560,50.0
1467,157243989,1,1291560,50.0
1480,157325671,1,1291560,40.0
1506,158123544,1,1291560,40.0
1508,158158100,1,1291560,40.0
1630,162209441,1,1291560,40.0
1632,162262704,1,1291560,40.0
1640,162373563,1,1291560,50.0
1662,162798855,1,1291560,40.0
1720,164796497,1,1291560,50.0
1722,164801037,1,1291560,40.0
1755,166750629,1,1291560,50.0
1785,169089788,1,1291560,50.0
1787,169092759,1,1291560,50.0
1790,169142363,1,1291560,40.0
1793,169168589,1,1291560,50.0
1795,169216507,1,1291560,40.0
1801,1693422,1,1291560,50.0
1809,169777600,1,1291560,50.0
1821,170509333,1,1291560,50.0
1838,171372928,1,1291560,50.0
1842,171591927,1,1291560,50.0
1849,172055431,1,1291560,50.0
1854,172195277,1,1291560,50.0
1855,172199457,1,1291560,50.0
1859,172350963,1,1291560,40.0
